version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 123456789012 eni-0011223344556677 10.0.1.10 54.239.28.85 51514 443 6 12 8400 1709251000 1709251060 ACCEPT OK
2 123456789012 eni-0011223344556677 - 54.239.28.85 - 443 6 3 1800 1709251100 1709251160 ACCEPT OK
2 123456789012 eni-00aa11bb22cc33dd 10.0.2.15 - 49822 - 17 2 196 1709251200 1709251260 ACCEPT OK
2 123456789012 eni-00aa11bb22cc33dd - - - - - - - 1709251300 1709251360 REJECT NODATA
2 123456789012 eni-00ff11ee22dd33cc 10.0.3.25 8.8.8.8 60123 53 17 1 98 1709251400 1709251460 ACCEPT OK
2 123456789012 eni-00ff11ee22dd33cc 10.0.3.25 8.8.4.4 - 53 17 1 102 1709251500 1709251560 ACCEPT OK
2 123456789012 eni-0a0b0c0d0e0f1111 - 1.1.1.1 44321 443 6 5 3400 1709251600 1709251660 ACCEPT OK
2 123456789012 eni-0a0b0c0d0e0f1111 10.0.4.50 203.0.113.10 34567 22 6 2 120 1709251700 1709251760 REJECT OK
2 123456789012 eni-0abcabcabcabcabc 10.0.5.60 - 62000 25 6 1 60 1709251800 1709251860 REJECT OK
2 123456789012 eni-0abcabcabcabcabc - - 62001 - 6 4 3200 1709251900 1709251960 ACCEPT OK
2 123456789012 eni-0feedfeedfeed123 10.0.6.70 198.51.100.20 55000 80 6 15 12500 1709252000 1709252060 ACCEPT OK
2 123456789012 eni-0feedfeedfeed123 - - - - - - - 1709252100 1709252160 ACCEPT NODATA
